Gene,targetId,isInMembrane,isSecreted,hasLigand,hasSmallMoleculeBinder,hasPocket,mouseOrthologMaxIdentityPercentage,hasHighQualityChemicalProbes,tissueSpecificity,tissueDistribution,maxClinicalTrialPhase,Priority
NMUR1,ENSG00000171596,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
ANOS1,ENSG00000011201,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
DEFA4,ENSG00000164821,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
PTH,ENSG00000152266,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
ERVFRD-1,ENSG00000244476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
PRB3,ENSG00000197870,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
CD33,ENSG00000105383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2.5
TGFB1,ENSG00000105329,0.0,1.0,0.0,1.0,0.0,0.5,0.0,-1.0,0.0,1.0,2.5
IL37,ENSG00000125571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
CNGB1,ENSG00000070729,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
CCL18,ENSG00000275385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
OLR1,ENSG00000173391,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,2.5
CLEC3B,ENSG00000163815,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,2.5
MUC2,ENSG00000198788,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
APOA5,ENSG00000110243,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
CD177,ENSG00000204936,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
DKKL1,ENSG00000104901,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
IL27,ENSG00000197272,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
IL6R,ENSG00000160712,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,1.0,2.5
STATH,ENSG00000126549,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
ASAH1,ENSG00000104763,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,-1.0,0.0,2.5
IL1R2,ENSG00000115590,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
NPPB,ENSG00000120937,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
IGHV3-11,ENSG00000211941,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
FOXM1,ENSG00000111206,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
KNG1,ENSG00000113889,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
FCGR3B,ENSG00000162747,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
FOLR3,ENSG00000110203,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
GHRH,ENSG00000118702,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
HRAS,ENSG00000174775,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,0.5,2.5
OLFM4,ENSG00000102837,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
DEFB4A,ENSG00000171711,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
GAST,ENSG00000184502,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
IGHV3-7,ENSG00000211938,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
IGHV3-66,ENSG00000211972,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
IGHA1,ENSG00000211895,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
CCL27,ENSG00000213927,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
PGLYRP2,ENSG00000161031,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
COL6A3,ENSG00000163359,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2.5
RIMBP3,ENSG00000275793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
F8,ENSG00000185010,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,-1.0,1.0,2.5
GIP,ENSG00000159224,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
GGT1,ENSG00000100031,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
IGHV3-43,ENSG00000232216,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
IGHV4-61,ENSG00000211970,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
FABP5,ENSG00000164687,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,-1.0,0.0,2.5
CD40,ENSG00000101017,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.5,2.5
IGHV3-20,ENSG00000211946,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
INMT,ENSG00000241644,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
PGLYRP1,ENSG00000008438,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
FGF19,ENSG00000162344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
LCN2,ENSG00000148346,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,2.5
ACTG2,ENSG00000163017,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,2.5
CST4,ENSG00000101441,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
IGHV4-4,ENSG00000276775,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
IGHV4-59,ENSG00000224373,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
NR0B2,ENSG00000131910,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
CCNE1,ENSG00000105173,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
SPINT1,ENSG00000166145,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
TET2,ENSG00000168769,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
SERPINA5,ENSG00000188488,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,2.5
IGHV2-5,ENSG00000211937,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
STING1,ENSG00000184584,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.5,2.5
IGHV3-64,ENSG00000223648,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
PRH2,ENSG00000134551,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
IGHV3-53,ENSG00000211967,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
CTSL,ENSG00000135047,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,-1.0,0.0,2.5
RAMP1,ENSG00000132329,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2.5
IGHV2-26,ENSG00000211951,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
CCDC62,ENSG00000130783,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
HRH4,ENSG00000134489,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,0.5,2.5
CD5L,ENSG00000073754,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
GDF3,ENSG00000184344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,2.5
FCGBP,ENSG00000275395,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
IGHV3-33,ENSG00000211955,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
NCAN,ENSG00000130287,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
GNAI1,ENSG00000127955,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,2.5
GPX5,ENSG00000224586,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
WNK2,ENSG00000165238,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
PPY,ENSG00000108849,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
IGKV3-15,ENSG00000244437,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
CR2,ENSG00000117322,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
LCN12,ENSG00000184925,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
AMBP,ENSG00000106927,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
DRAXIN,ENSG00000162490,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,2.5
LGALS9,ENSG00000168961,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,-1.0,0.0,2.5
TRAT1,ENSG00000163519,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
MASP1,ENSG00000127241,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
AHSG,ENSG00000145192,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
APOA4,ENSG00000110244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
IGHV3-73,ENSG00000211976,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
PTPRB,ENSG00000127329,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.5,2.5
GYPB,ENSG00000250361,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
SLC2A3,ENSG00000059804,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,-1.0,0.0,2.5
FCGR2C,ENSG00000244682,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
IGHV3-30,ENSG00000270550,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
ASGR1,ENSG00000141505,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,2.5
GZMA,ENSG00000145649,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
MAPK15,ENSG00000181085,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
GSTO1,ENSG00000148834,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,-1.0,0.0,2.5
IGHV1-24,ENSG00000211950,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
KIR3DL1,ENSG00000167633,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,2.5
TFPI,ENSG00000003436,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,-1.0,1.0,2.5
CD4,ENSG00000010610,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,-1.0,1.0,2.5
AZU1,ENSG00000172232,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
CLEC4D,ENSG00000166527,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
EREG,ENSG00000124882,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,2.5
LDLR,ENSG00000130164,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,-1.0,0.0,2.5
IGHV3-72,ENSG00000225698,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
EPO,ENSG00000130427,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
SPACA3,ENSG00000141316,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
CLEC19A,ENSG00000261210,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,2.5
APOH,ENSG00000091583,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5
IGKV1-16,ENSG00000240864,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5
GUCY2F,ENSG00000101890,0.0,0.0,0.0,0.0,0.0,0.494585,0.0,1.0,1.0,0.0,2.494585
ARAF,ENSG00000078061,1.0,0.0,1.0,1.0,0.0,0.7442250000000001,0.0,-1.0,-1.0,0.75,2.494225
SYT4,ENSG00000132872,1.0,0.0,0.0,0.0,0.0,0.4941200000000002,0.0,1.0,0.0,0.0,2.49412
CTNNB1,ENSG00000168036,1.0,0.0,1.0,1.0,0.0,0.9936,0.0,-1.0,-1.0,0.5,2.4936
STAT3,ENSG00000168610,0.0,0.0,1.0,1.0,0.0,0.9935049999999996,1.0,-1.0,-1.0,0.5,2.493505
CTNNA2,ENSG00000066032,1.0,0.0,0.0,0.0,0.0,0.742915,0.0,0.75,0.0,0.0,2.492915
NLK,ENSG00000087095,0.0,0.0,1.0,1.0,0.0,0.9905099999999998,0.0,0.5,-1.0,0.0,2.4905099999999996
CNGA1,ENSG00000198515,1.0,0.0,0.0,0.0,0.0,0.4897950000000001,0.0,1.0,0.0,0.0,2.489795
TFR2,ENSG00000106327,0.0,0.0,0.0,0.0,0.0,0.2384500000000002,0.0,1.0,0.5,0.75,2.4884500000000003
PPP3CA,ENSG00000138814,0.0,0.0,0.0,1.0,0.0,0.980805,0.0,0.5,-1.0,1.0,2.480805
GRB2,ENSG00000177885,0.0,0.0,1.0,1.0,1.0,0.9769599999999996,0.0,-1.0,-1.0,0.5,2.4769599999999996
RAB39B,ENSG00000155961,1.0,0.0,0.0,0.0,0.0,0.9765250000000002,0.0,0.5,0.0,0.0,2.476525
FGF9,ENSG00000102678,0.0,1.0,0.0,0.0,0.0,0.97596,0.0,0.5,0.0,0.0,2.47596
NR4A2,ENSG00000153234,0.0,0.0,1.0,1.0,0.0,0.974915,0.0,0.5,-1.0,0.0,2.474915
PTPN11,ENSG00000179295,0.0,0.0,1.0,1.0,0.0,0.9747050000000002,1.0,-1.0,-1.0,0.5,2.474705
NRAS,ENSG00000213281,1.0,0.0,1.0,1.0,0.0,0.973545,0.0,-1.0,-1.0,0.5,2.473545
CLK1,ENSG00000013441,0.0,0.0,1.0,1.0,1.0,0.47314,1.0,-1.0,-1.0,0.0,2.47314
LY6H,ENSG00000176956,1.0,0.0,0.0,0.0,0.0,0.4720500000000001,0.0,1.0,0.0,0.0,2.4720500000000003
EHD1,ENSG00000110047,1.0,0.0,0.0,1.0,0.0,0.9719099999999996,0.0,0.5,-1.0,0.0,2.4719099999999994
ZIC1,ENSG00000152977,0.0,0.0,0.0,0.0,0.0,0.9664450000000002,0.0,1.0,0.5,0.0,2.466445
PDE5A,ENSG00000138735,0.0,0.0,1.0,1.0,1.0,0.4628549999999997,0.0,-1.0,-1.0,1.0,2.462855
PAX5,ENSG00000196092,0.0,0.0,0.0,0.0,0.0,0.9616349999999996,0.0,1.0,0.5,0.0,2.4616349999999994
NPSR1,ENSG00000187258,1.0,0.0,1.0,1.0,0.0,0.4609149999999999,1.0,-1.0,-1.0,0.0,2.460915
RTN4R,ENSG00000040608,1.0,0.0,0.0,0.0,0.0,0.4608899999999998,0.0,1.0,0.0,0.0,2.46089
NTN1,ENSG00000065320,0.0,1.0,0.0,0.0,0.0,0.9586100000000002,0.0,0.5,0.0,0.0,2.45861
GPR19,ENSG00000183150,1.0,0.0,0.0,0.0,0.0,0.4578299999999998,0.0,0.5,0.5,0.0,2.4578299999999995
RHOV,ENSG00000104140,1.0,0.0,0.0,0.0,0.0,0.9576250000000002,0.0,0.5,0.0,0.0,2.457625
ERC2,ENSG00000187672,0.0,0.0,0.0,0.0,0.0,0.9529800000000002,0.0,1.0,0.5,0.0,2.45298
OR2L13,ENSG00000196071,1.0,0.0,0.0,0.0,0.0,0.1987200000000001,0.0,0.75,0.5,0.0,2.44872
HAS2,ENSG00000170961,1.0,0.0,0.0,0.0,0.0,0.94565,0.0,0.5,0.0,0.0,2.44565
SCG3,ENSG00000104112,0.0,1.0,0.0,0.0,0.0,0.4444450000000003,0.0,0.5,0.5,0.0,2.4444450000000004
WNT4,ENSG00000162552,0.0,1.0,0.0,0.0,0.0,0.94302,0.0,0.5,0.0,0.0,2.4430199999999997
STK25,ENSG00000115694,0.0,0.0,1.0,1.0,0.0,0.941315,0.0,0.5,-1.0,0.0,2.441315
EHMT1,ENSG00000181090,0.0,0.0,1.0,1.0,1.0,0.4375950000000003,1.0,-1.0,-1.0,0.0,2.437595
SCAMP5,ENSG00000198794,1.0,0.0,0.0,0.0,0.0,0.93617,0.0,0.5,0.0,0.0,2.4361699999999997
WNT5A,ENSG00000114251,0.0,1.0,0.0,0.0,0.0,0.9342100000000002,0.0,0.5,0.0,0.0,2.43421
PSMD2,ENSG00000175166,0.0,0.0,1.0,0.0,0.0,0.93392,0.0,0.5,-1.0,1.0,2.43392
NALCN,ENSG00000102452,1.0,0.0,0.0,0.0,0.0,0.9338299999999996,0.0,0.5,0.0,0.0,2.4338299999999995
GNG4,ENSG00000168243,1.0,0.0,0.0,0.0,0.0,0.9333350000000002,0.0,0.5,0.0,0.0,2.4333350000000005
SLC32A1,ENSG00000101438,0.0,0.0,0.0,0.0,0.0,0.9333350000000002,0.0,1.0,0.5,0.0,2.4333350000000005
CDK14,ENSG00000058091,0.0,0.0,1.0,1.0,0.0,0.9253749999999996,1.0,-1.0,-1.0,0.5,2.425375
LHX9,ENSG00000143355,0.0,0.0,0.0,0.0,0.0,0.9244349999999996,0.0,1.0,0.5,0.0,2.4244349999999995
C1QL1,ENSG00000131094,0.0,1.0,0.0,0.0,0.0,0.9224800000000002,0.0,0.5,0.0,0.0,2.42248
PSMB8,ENSG00000204264,0.0,0.0,1.0,1.0,0.0,0.4202899999999999,0.0,-1.0,0.0,1.0,2.42029
SSTR4,ENSG00000132671,1.0,0.0,1.0,1.0,0.0,0.4201050000000002,0.0,-1.0,-1.0,1.0,2.4201050000000004
NPTXR,ENSG00000221890,1.0,0.0,0.0,0.0,0.0,0.4200000000000002,0.0,1.0,0.0,0.0,2.42
DNAH6,ENSG00000115423,1.0,0.0,0.0,0.0,0.0,0.4191899999999997,0.0,0.5,0.5,0.0,2.4191899999999995
ADAM22,ENSG00000008277,0.0,0.0,0.0,0.0,1.0,0.4190849999999997,0.0,1.0,0.0,0.0,2.419085
ATP2B2,ENSG00000157087,1.0,0.0,0.0,0.0,0.0,0.9155250000000004,0.0,0.5,0.0,0.0,2.4155250000000006
ZIC3,ENSG00000156925,0.0,0.0,0.0,0.0,0.0,0.9143450000000002,0.0,1.0,0.5,0.0,2.414345
KIF26B,ENSG00000162849,1.0,0.0,0.0,0.0,0.0,0.4141350000000002,0.0,0.5,0.5,0.0,2.414135
LMX1B,ENSG00000136944,0.0,0.0,0.0,0.0,0.0,0.9129350000000004,0.0,1.0,0.5,0.0,2.4129350000000005
ADGRL1,ENSG00000072071,1.0,0.0,0.0,0.0,0.0,0.9115049999999996,0.0,0.5,0.0,0.0,2.4115049999999996
TTYH1,ENSG00000167614,1.0,0.0,0.0,0.0,0.0,0.41111,0.0,1.0,0.0,0.0,2.41111
PDE7B,ENSG00000171408,0.0,0.0,1.0,1.0,0.0,0.41111,0.0,-1.0,0.0,1.0,2.41111
PDC,ENSG00000116703,0.0,0.0,0.0,0.0,0.0,0.4105699999999999,0.0,1.0,1.0,0.0,2.41057
METAP1,ENSG00000164024,1.0,0.0,1.0,1.0,0.0,0.9093249999999996,0.0,-1.0,-1.0,0.5,2.4093249999999995
NKX2-2,ENSG00000125820,0.0,0.0,0.0,0.0,0.0,0.9084249999999996,0.0,1.0,0.5,0.0,2.4084249999999994
ZIC2,ENSG00000043355,0.0,0.0,0.0,0.0,0.0,0.906015,0.0,1.0,0.5,0.0,2.406015
ESRRA,ENSG00000173153,0.0,0.0,1.0,1.0,0.0,0.905435,0.0,0.5,-1.0,0.0,2.4054349999999998
PCDH17,ENSG00000118946,1.0,0.0,0.0,0.0,0.0,0.9050899999999998,0.0,0.5,0.0,0.0,2.40509
SYT2,ENSG00000143858,0.0,0.0,0.0,0.0,0.0,0.904535,0.0,1.0,0.5,0.0,2.404535
OCM,ENSG00000122543,1.0,0.0,0.0,0.0,0.0,0.4036700000000003,0.0,0.5,0.5,0.0,2.4036700000000004
MALT1,ENSG00000172175,0.0,0.0,1.0,1.0,0.0,0.3992699999999999,1.0,-1.0,-1.0,1.0,2.39927
SIX6,ENSG00000184302,0.0,0.0,0.0,0.0,0.0,0.898375,0.0,1.0,0.5,0.0,2.398375
FST,ENSG00000134363,0.0,1.0,0.0,0.0,0.0,0.8982550000000004,0.0,0.5,0.0,0.0,2.3982550000000002
SYT7,ENSG00000011347,1.0,0.0,0.0,0.0,0.0,0.8979599999999998,0.0,0.5,0.0,0.0,2.39796
DLX3,ENSG00000064195,0.0,0.0,0.0,0.0,0.0,0.8954700000000002,0.0,1.0,0.5,0.0,2.3954700000000004
IKZF2,ENSG00000030419,0.0,0.0,0.0,0.0,0.0,0.8954349999999998,1.0,0.5,0.0,0.0,2.395435
SULT4A1,ENSG00000130540,0.0,0.0,0.0,0.0,0.0,0.8943649999999999,0.0,1.0,0.5,0.0,2.3943649999999996
MYO1B,ENSG00000128641,1.0,0.0,0.0,0.0,0.0,0.8943649999999999,0.0,0.5,0.0,0.0,2.3943649999999996
DNAJC6,ENSG00000116675,1.0,0.0,0.0,0.0,0.0,0.6443300000000001,0.0,0.75,0.0,0.0,2.39433
STK35,ENSG00000125834,0.0,0.0,1.0,1.0,0.0,0.3913849999999996,0.0,1.0,-1.0,0.0,2.3913849999999996
GREM1,ENSG00000166923,0.0,1.0,0.0,0.0,0.0,0.8913049999999998,0.0,0.5,0.0,0.0,2.391305
NPY,ENSG00000122585,0.0,1.0,0.0,0.0,0.0,0.6391750000000002,0.0,0.75,0.0,0.0,2.3891750000000003
KLHL7,ENSG00000122550,1.0,0.0,0.0,0.0,1.0,0.8890799999999999,0.0,0.5,-1.0,0.0,2.38908
ST8SIA4,ENSG00000113532,0.0,1.0,0.0,0.0,0.0,0.8885800000000004,0.0,0.5,0.0,0.0,2.38858
OSBPL6,ENSG00000079156,1.0,0.0,0.0,0.0,0.0,0.8875799999999998,0.0,0.5,0.0,0.0,2.38758
PLXNA4,ENSG00000221866,1.0,0.0,0.0,0.0,0.0,0.8864849999999997,0.0,0.5,0.0,0.0,2.3864849999999995
PSEN1,ENSG00000080815,0.0,0.0,1.0,1.0,0.0,0.6359749999999998,1.0,-1.0,-1.0,0.75,2.3859749999999997
TMEM240,ENSG00000205090,1.0,0.0,0.0,0.0,0.0,0.8843949999999999,0.0,0.5,0.0,0.0,2.384395
HIPK1,ENSG00000163349,0.0,0.0,1.0,1.0,0.0,0.8843000000000003,0.0,0.5,-1.0,0.0,2.3843000000000005
DNM3,ENSG00000197959,0.0,0.0,0.0,0.0,1.0,0.8841250000000003,0.0,0.5,0.0,0.0,2.384125
NEK7,ENSG00000151414,0.0,0.0,1.0,1.0,0.0,0.8841050000000003,0.0,0.5,-1.0,0.0,2.3841050000000004
CHN2,ENSG00000106069,0.0,0.0,0.0,1.0,0.0,0.8824800000000004,0.0,0.5,0.0,0.0,2.38248
QDPR,ENSG00000151552,0.0,0.0,0.0,1.0,1.0,0.6311450000000001,0.0,0.75,-1.0,0.0,2.381145
TXN,ENSG00000136810,0.0,0.0,1.0,1.0,0.0,0.38095,0.0,0.5,-1.0,0.5,2.38095
IKBKB,ENSG00000104365,0.0,0.0,1.0,1.0,0.0,0.6296300000000002,1.0,-1.0,-1.0,0.75,2.37963
AXL,ENSG00000167601,1.0,0.0,1.0,1.0,0.0,0.379195,0.0,-1.0,-1.0,1.0,2.379195
SLITRK1,ENSG00000178235,0.0,0.0,0.0,0.0,0.0,0.8778750000000002,0.0,1.0,0.5,0.0,2.3778750000000004
HSPD1,ENSG00000144381,0.0,0.0,1.0,1.0,0.0,0.8778350000000004,0.0,0.5,-1.0,0.0,2.377835
BMP7,ENSG00000101144,0.0,1.0,0.0,0.0,0.0,0.87239,0.0,0.5,0.0,0.0,2.37239
GAS2,ENSG00000148935,1.0,0.0,0.0,0.0,0.0,0.8722050000000003,0.0,0.5,0.0,0.0,2.372205
DAB2IP,ENSG00000136848,1.0,0.0,1.0,1.0,0.0,0.36922,0.0,-1.0,0.0,0.0,2.36922
TNKS2,ENSG00000107854,0.0,0.0,1.0,1.0,0.0,0.8627800000000001,1.0,-1.0,-1.0,0.5,2.36278
SLITRK4,ENSG00000179542,1.0,0.0,0.0,0.0,0.0,0.862605,0.0,0.5,0.0,0.0,2.362605
GJC1,ENSG00000182963,1.0,0.0,0.0,0.0,0.0,0.86111,0.0,0.5,0.0,0.0,2.36111
FKBP1B,ENSG00000119782,0.0,0.0,1.0,1.0,0.0,0.86111,0.0,0.5,-1.0,0.0,2.36111
ALKBH5,ENSG00000091542,0.0,0.0,1.0,1.0,0.0,0.8604050000000001,0.0,0.5,-1.0,0.0,2.360405
NRN1,ENSG00000124785,1.0,0.0,0.0,0.0,0.0,0.8591549999999998,0.0,0.5,0.0,0.0,2.359155
RAB38,ENSG00000123892,1.0,0.0,0.0,0.0,0.0,0.8578200000000002,0.0,0.5,0.0,0.0,2.3578200000000002
LBX1,ENSG00000138136,0.0,0.0,0.0,0.0,0.0,0.8576500000000002,0.0,1.0,0.5,0.0,2.3576500000000005
LMX1A,ENSG00000162761,0.0,0.0,0.0,0.0,0.0,0.8560200000000002,0.0,1.0,0.5,0.0,2.35602
ACTN3,ENSG00000248746,0.0,0.0,0.0,0.0,0.0,0.855715,0.0,1.0,0.5,0.0,2.355715
UNC5C,ENSG00000182168,1.0,0.0,0.0,0.0,0.0,0.8549950000000003,0.0,0.5,0.0,0.0,2.354995
FZD4,ENSG00000174804,1.0,0.0,0.0,0.0,0.0,0.8510249999999999,0.0,0.5,0.0,0.0,2.351025
SLC38A4,ENSG00000139209,1.0,0.0,0.0,0.0,0.0,0.3510049999999999,0.0,1.0,0.0,0.0,2.351005
STAR,ENSG00000147465,0.0,0.0,0.0,0.0,1.0,0.3508749999999999,0.0,1.0,0.0,0.0,2.350875
SLC10A4,ENSG00000145248,1.0,0.0,0.0,0.0,0.0,0.3478250000000003,0.0,0.5,0.5,0.0,2.3478250000000003
